src	dst	hops	quality	chain
abilities	émettent	2	0.891	en:abilities ≈ fr:épilent hisse ~ fr:émettent
abilities	enroulé	2	0.891	en:abilities ≈ fr:épilent hisse ~ fr:enroulé
abilities	versant	2	0.889	en:abilities ≈ fr:épilent hisse ~ fr:versant
about	émettent	2	0.974	en:about ≈ fr:ébattent ~ fr:émettent
about	étranglé	2	0.972	en:about ≈ fr:ébattent ~ fr:étranglé
about	épi	2	0.957	en:about ≈ fr:épate ~ fr:épi
access	axes	2	0.863	en:access ≈ fr:axis ~ fr:axes
accessories	russ	2	0.899	en:accessories ≈ fr:excès ruse ~ fr:russ
according	impression	4	0.937	en:according ≈ fr:écot in ~ fr:prennent in ≈ en:printing = fr:impression
according	imprimer	4	0.937	en:according ≈ fr:écot in ~ fr:prennent in ≈ en:printing = fr:imprimer
according	imprimerie	4	0.937	en:according ≈ fr:écot in ~ fr:prennent in ≈ en:printing = fr:imprimerie
accursed em	écosystèmes	2	0.965	en:accursed em ≈ fr:écosystème ~ fr:écosystèmes
acid art	assistant	2	0.946	en:acid art ≈ fr:assistante ~ fr:assistant
acid art	assistants	2	0.937	en:acid art ≈ fr:assistante ~ fr:assistants
acid art	assistantes	2	0.936	en:acid art ≈ fr:assistante ~ fr:assistantes
acme	actu	2	0.948	en:acme ≈ fr:acmé ~ fr:actu
acne	actu	4	0.934	en:acne ≈ fr:acné ~ en:acme ≈ fr:acmé ~ fr:actu
acoustic	tech	6	0.965	en:acoustic ≈ fr:égouts tic ~ fr:tic ≈ en:teak = fr:teck ≈ en:tech ~ fr:tech
acoustic	technologie	6	0.954	en:acoustic ≈ fr:égouts tic ~ fr:tic ≈ en:teak = fr:teck ≈ en:tech ~ fr:technologie
acoustic	tit	4	0.924	en:acoustic ≈ fr:égouts tic ~ en:titter ≈ fr:titi ~ fr:tit
acted	gel	2	0.935	en:acted ≈ fr:accède ~ fr:gel
active	octave	3	0.985	en:active ~ fr:active ≈ en:octave ~ fr:octave
active	actives	2	0.967	en:active ≈ fr:active ~ fr:actives
active	actif	2	0.945	en:active ≈ fr:active ~ fr:actif
