seed	hops	quality	loop
accepting	3	0.748	en:accepting ≈ fr:accepte ~ fr:acceptent ≈ en:accept
accepting	4	0.798	en:accepting ≈ fr:accepte = en:accept ≈ fr:acceptent ~ fr:accepter
area	4	0.713	en:area ~ en:zone ≈ fr:zone ~ fr:domaine ≈ en:domain
area	5	0.711	en:area ~ en:zone ≈ fr:zone ~ fr:domaine ≈ en:domain ~ en:field
axe	3	0.780	en:axe ≈ fr:axes = en:axis ≈ fr:axe
axe	4	0.760	en:axe ≈ fr:axes = en:axis ≈ fr:axe ~ fr:haches
axis	3	0.780	en:axis ≈ fr:axe = en:axe ≈ fr:axes
axis	3	0.697	en:axis ≈ fr:axe ~ fr:axes ≈ en:axe
bands	4	0.930	en:bands = fr:groupes ≈ en:group = fr:groupe ≈ en:groups
bands	4	0.868	en:bands ~ en:groups ≈ fr:groupe = en:group ≈ fr:groupes
beach	3	0.740	en:beach ≈ fr:bits ~ fr:bit ≈ en:beaches
beach	4	0.792	en:beach ≈ fr:bits ~ fr:bit ≈ en:beaches = fr:plage
beaches	3	0.740	en:beaches ≈ fr:bit ~ fr:bits ≈ en:beach
beaches	4	0.792	en:beaches ≈ fr:bit ~ fr:bits ≈ en:beach = fr:plage
beasts	3	0.783	en:beasts ≈ fr:bit = en:bit ≈ fr:bêtes
bit	3	0.783	en:bit ≈ fr:bêtes = en:beasts ≈ fr:bit
bit	4	0.792	en:bit = fr:bits ≈ en:beach ~ en:beaches ≈ fr:bit
bits	5	0.824	en:bits = fr:bits ≈ en:beach ~ en:beaches ≈ fr:bit = en:bit
bits	5	0.750	en:bits ~ en:bit ≈ fr:bêtes = en:beasts ≈ fr:bit ~ fr:bits
blacks	5	0.777	en:blacks ~ en:black ≈ fr:bloc = en:block ≈ fr:black ~ fr:noirs
bloc	4	0.858	en:bloc = fr:bloc ≈ en:black = fr:black ≈ en:block
bloc	4	0.796	en:bloc ~ en:block ≈ fr:black = en:black ≈ fr:bloc
