en	fr	certifications	example_loop
call	colle	10	en:call ≈ fr:colle ~ fr:coller ≈ en:caller ~ en:calling
mass	masses	9	en:disorder ~ en:mess ≈ fr:messe = en:mass ≈ fr:masses ~ fr:messes ≈ en:messy
pierre	pair	9	en:pair = fr:pair ≈ en:pierre ~ en:peter ≈ fr:pire ~ fr:pires ≈ en:peer
peter	pire	9	en:pair = fr:pair ≈ en:pierre ~ en:peter ≈ fr:pire ~ fr:pires ≈ en:peer
peer	pires	9	en:pair = fr:pair ≈ en:pierre ~ en:peter ≈ fr:pire ~ fr:pires ≈ en:peer
city	séries	8	en:cherry = fr:cerise ≈ en:series = fr:séries ≈ en:city ~ en:cities ≈ fr:cerises
group	groupes	7	en:bands = fr:groupes ≈ en:group = fr:groupe ≈ en:groups
groups	groupe	7	en:bands = fr:groupes ≈ en:group = fr:groupe ≈ en:groups
pause	pose	7	en:break = fr:pause ≈ en:pose = fr:pose ≈ en:pause
draw	drogues	7	en:draw ≈ fr:drogues ~ fr:drogue ≈ en:drawing
drawing	drogue	7	en:draw ≈ fr:drogues ~ fr:drogue ≈ en:drawing
film	films	7	en:film ≈ fr:films = en:films ≈ fr:film
films	film	7	en:film ≈ fr:films = en:films ≈ fr:film
gin	jean	7	en:gin ≈ fr:jean = en:jean ≈ fr:gin
tests	test	7	en:plague = fr:peste ≈ en:test = fr:test ≈ en:tests = fr:tests ≈ en:pest
reds	raids	7	en:raid = fr:raids ≈ en:reds ~ en:red ≈ fr:raid
red	raid	7	en:raid = fr:raids ≈ en:reds ~ en:red ≈ fr:raid
beach	bits	6	en:beach ≈ fr:bits ~ fr:bit ≈ en:beaches
beaches	bit	6	en:beach ≈ fr:bits ~ fr:bit ≈ en:beaches
black	bloc	6	en:blacks ~ en:black ≈ fr:bloc = en:block ≈ fr:black ~ fr:noirs
block	black	6	en:blacks ~ en:black ≈ fr:bloc = en:block ≈ fr:black ~ fr:noirs
collar	coller	6	en:call ≈ fr:colle ~ fr:coller ≈ en:collar = fr:col ≈ en:caller ~ en:calling
control	contrôles	6	en:checks = fr:contrôles ≈ en:control = fr:contrôle ≈ en:controls
controls	contrôle	6	en:checks = fr:contrôles ≈ en:control = fr:contrôle ≈ en:controls
sheikh	chèque	6	en:cheque ≈ fr:cheik = en:sheikh ≈ fr:chèque
police	polices	6	en:cop ~ en:police ≈ fr:polices ~ fr:police ≈ en:policeman
policeman	police	6	en:cop ~ en:police ≈ fr:polices ~ fr:police ≈ en:policeman
knives	naïve	6	en:knife ≈ fr:naïfs ~ fr:naïve ≈ en:knives
petit	petit	6	en:little ~ en:petit ≈ fr:petit ~ fr:petite ≈ en:petite
poses	pause	6	en:pause ≈ fr:pose = en:poses ≈ fr:pause
pope	pop	6	en:pop ≈ fr:papes = en:pope ≈ fr:pop
transform	transforme	6	en:processing ~ en:transform ≈ fr:transforme ~ fr:transformer ≈ en:transformation
transformation	transformer	6	en:processing ~ en:transform ≈ fr:transforme ~ fr:transformer ≈ en:transformation
routes	route	6	en:road = fr:route ≈ en:routes = fr:routes ≈ en:route
route	routes	6	en:road = fr:route ≈ en:routes = fr:routes ≈ en:route
check	cheik	6	en:sheik ≈ fr:chèque = en:check ≈ fr:cheik
technique	techniques	6	en:technical ≈ fr:technique = en:technique ≈ fr:techniques
test	tests	6	en:test ≈ fr:tests = en:tests ≈ fr:test
break	briques	5	en:break ≈ fr:briques = en:brick ≈ fr:break
brick	break	5	en:break ≈ fr:briques = en:brick ≈ fr:break
cheque	tchèque	5	en:check ≈ fr:tchèques ~ fr:tchèque ≈ en:cheque
expressions	express	5	en:express = fr:express ≈ en:expressions = fr:expressions ≈ en:expressing
