ipa	members
əʊ	eau o oh ow owe
ʃeɪk	shaikh shake shaykh sheik sheikh
tɔː	taw tor tore torr tour
ædz	adds ads adz adze
ɔː	awe oar or ore
bɑː	baa bah bar barre
bɔːd	baud bawd board bored
bɜːɡ	berg bourg burg burgh
baɪ	bi buy by bye
bɜː	birr bour bur burr
bɔːn	born borne bourn bourne
kædi	caddie caddy cadi kadi
kɑːt	cart carte kart khat
kɔːd	cawed chord cord cored
sɛnt	cent scent sent sente
siː	c sea see si
fjuː	feu few phew whew
ɡɔːd	gaud gawd gored gourd
hɔː	haugh haw hoar whore
leɪz	lays laze leis leys
wiː	oui we wee whee
pɑː	pa pah par parr
pɔːz	pause paws pores pours
pɔː	paw poor pore pour
ɹaɪt	right rite wright write
ɹaɪts	rights rites wrights writes
səʊ	sew so soh sough
tɔːt	taught taut tort torte
ɑː	aah ah r
eə	air ere heir
aɪz	ais ayes eyes
ɔːt	aught ort ought
bɑːd	baaed bard barred
beɪl	bael bail bale
bɔːld	bald balled bawled
bɔːdz	bauds bawds boards
biː	b be bee
baɪt	bight bite byte
bɔː	boar boor bore
bɔːz	boars boors bores
bɹiː	brae bree brie
bɹeɪz	braise brays braze
bʌt	but butt butte
bʌts	buts buttes butts
kɑːni	carney carnie carny
kæɹəl	carol carrel carrell
kɑːts	cartes carts karts
kɑːst	cast caste karst
kɔːdəl	caudal caudle chordal
kɔːz	cause caws cores
kɔːsɐ	causer coarser courser
kɔː	caw core kor
siːl	ceil seal seel
sɛnsɐ	censer censor sensor
sɛnsəz	censers censors sensors
tʃɪliz	chiles chilis chillies
tʃɪli	chile chilli chilly
kəʊlɐ	choler cola kola
saɪfɐ	cipher cypher sypher
saɪtɪd	cited sighted sited
saɪt	cite sight site
saɪts	cites sights sites
saɪtɪŋ	citing sighting siting
kəʊl	coal cole kohl
kɔːs	coarse corse course
kuːps	coops coupes coups
kɒtɐ	cotta cottar cotter
kɹuːz	crews cruise crus
kjuːɪŋ	cueing cuing queuing
kjuː	cue q queue
tsɑː	czar tsar tzar
deɪzɪz	daises daisies dazes
dɔː	daw door dor
dɪki	dickey dickie dicky
dəʊ	doe doh dough
ɜːn	earn erne urn
iəɹi	eerie eery eyrie
juːz	ewes yews yous
feəɹi	faerie faery fairy
feɪn	fain fane feign
fɛlɐ	fella fellah feller
fɜː	fer fir fur
fɜːz	firs furs furze
fluː	flew flu flue
flaɪt	flight flite flyte
fɔː	for fore four
fɹiːz	frees freeze frieze
fɹaɪəz	friars friers fryers
ɡeɪtɐ	gaiter gater gator
dʒiːn	gean gene jean
dʒiːz	gees geez jeez
ɡɹeɪz	grays graze greys
hɑː	ha haar hah
hædʒ	hadj haj hajj
