ipa	members
oʊ	au o oh ohh ohhh ow owe
si	c ce se sea see si
aɪ	ay aye ey eye i
ju	ew u yoo you yu
bi	b bae be bea bee
du	dew do doo du due
ti	t tae te tea tee
taɪ	tai thai ti tie ty
kaɪ	chi kai ki ky qi
saɪ	ci cy psi sci sigh
tu	to too tu two
baɪ	bi buy by bye
ɹaɪt	right rite wright write
waɪ	wei why wi y
di	d dea dee di
meɪn	main maine mane mein
pi	p pe pea pee
dʒi	g ge gee je
laɪ	lai li lie ly
li	lea leah lee leigh
ɑ	aa ah ahh ahhh
ɹoʊ	ro roe row rowe
su	sioux soo su sue
tʃɪli	chile chili chilli chilly
lu	lieu loo lou lu
woʊ	whoa wo woah woe
u	oo ooh ou uhh
ɑɹ	ar are r
maɪ	mai mi my
wi	we wee wii
æn	an ann anne
soʊ	sew so sow
hu	hoo hu who
ʃi	she shea shi
nu	knew new nu
wɛɹ	ware wear where
θɹu	threw through thru
haɪ	hai hi high
dʌn	done dun dunn
ɹid	read reed reid
ɛɹ	air err heir
loʊ	lo low lowe
tʃɛk	check cheque czech
i	e ea ee
ɹoʊd	rhode road rode
saɪt	cite sight site
ɹaɪts	rights rites writes
ɛl	el elle l
sɛnt	cent scent sent
blu	blew blu blue
sɜ	ser sir sur
bɔɪz	bois boise boys
ɹoʊz	ros rose rows
soʊl	seoul sole soul
ɹeɪz	raise rays reyes
saɪts	cites sights sites
ɹeɪn	rain reign rein
stil	steal steel steele
ɹeɪ	rae ray rey
pæk	pac pack pak
fɪl	fil fill phil
meɪɚ	mayer mayor meyer
bɛl	bel bell belle
nɪk	nic nick nyc
siz	seas sees seize
kju	cue q queue
mæt	mat matt matte
kɑm	calm com comm
ælən	alan allan allen
dʒin	gene jean jeanne
ʃɔn	sean shaun shawn
boʊ	beau bo bow
kɑn	con conn khan
jeɪ	yay yea yeh
ji	jae ye yi
ɜ	er ir ur
mɑɹʃəl	marshal marshall martial
kɹuz	crews cruise cruz
wɑ	wa wah wha
kæθɹɪn	catherine katherine kathryn
sʌni	sonny sunni sunny
kup	coop coup coupe
bɛɹi	berry betty bury
keɪn	cain cane kane
ʃɛpɚd	shepard shepherd sheppard
kɛɹi	carey cary kerry
ɹeɪnz	rains reigns reins
mæɹiən	marian marianne marion
ɛlɪət	eliot elliot elliott
zæk	zac zach zack
moʊhæmɪd	mohamed mohammad mohammed
nɪki	nicki nicky nikki
daɪɚ	dir dire dyer
foʊ	faux fo foe
aɪk	ic icc ike
ku	coo cu ku
pu	poo pooh pu
eɪ	a eh
ɪn	in inn
fɔɹ	for fore
æz	as az
hi	he hee
nɑt	knot not
bʌt	but butt
jʊɹ	eur your
mi	mae me
wʌn	one won
kæn	can kan
wɛn	wen when
noʊ	know no
ðɛɹ	their there
wɪtʃ	which witch
bɪn	been bin
wʊd	wood would
haʊ	how howe
sʌm	some sum
aʊɚ	hour our
ɡʊd	good gould
hɪm	him hymn
ʌs	us uss
wɔnt	want wont
weɪ	way weigh
vɛɹi	vary very
meɪ	may mei
hɪɹ	hear here
deɪ	day dei
meɪd	made maid
mæn	man mann
kʌm	come cum
bɛɹɚ	bearer better
faɪnd	find fined
mɪstɚ	mister mr
pliz	pleas please
naɪt	knight night
kɛɹ	care kerr
wik	weak week
tɛl	tel tell
sin	scene seen
ðoʊ	tho though
tɹaɪ	tri try
lɛs	les less
ɛɹiə	area aria
hoʊl	hole whole
kɑɹ	car carr
stoɹi	storey story
koɹs	coarse course
list	leased least
eɪbəl	abel able
ɡaɪz	guise guys
maɪnd	mind mined
aʊɚz	hours ours
ɛm	em m
dʒɑn	john jon
pæst	passed past
sɪɹiz	cities series
weɪt	wait weight
laɪt	light lite
wɛðɚ	weather whether
hɑɹt	hart heart
sʌn	son sun
hɜd	heard herd
mit	meat meet
pɹoʊɡɹæm	program programme
boɹd	board bored
dɑktɚ	doctor dr
simz	seams seems
dᵻpɑɹtmənt	department dept
mɪs	mis miss
koʊ	co ko
daɪd	died dyed
ʃɛɹ	cher share
ɛks	ex x
sɛntɚ	center centre
stɑɹ	star starr
bɹeɪk	brake break
haɪɚ	higher hire
bɔɪ	boi boy
ɹoʊl	role roll
ɛn	en n
oʊkeɪ	ok okay
ɡɹin	green greene
saɪz	sighs size
heɪ	hay hey
ki	ke key
peɪdʒ	page paige
æd	ad add
dæm	dam damn
kaʊnsəl	council counsel
hɛɹ	hair hare
pɪk	pic pick
sim	seam seem
daɪ	die dye
noʊz	knows nose
stɑɹɹɪŋ	starring starting
pɹæktɪs	practice practise
vi	v ve
weɪz	ways weighs
beɪs	base bass
mɑɹk	marc mark
pæs	pas pass
bɪld	billed build
pis	peace piece
stɹeɪt	straight strait
ɐlaʊd	allowed aloud
peɪn	pain payne
ɹɑk	roc rock
eɪt	ate eight
lɪmɪɹᵻd	limited ltd
seɪlz	sails sales
bɹaʊn	brown browne
kæpɪɹəl	capital capitol
dʒeɪ	j jay
fɛɹ	fair fare
fit	feat feet
kɪd	kid kidd
seɪl	sail sale
sɛl	cell sell
pɹi	pre prix
bɑɹ	bar barr
bæɹəl	barrel battle
dᵻfɛns	defence defense
nʌn	none nun
bænd	band banned
kæʃ	cache cash
læk	lac lack
kʌlɚ	color colour
fɪnɪʃ	finish finnish
ɡɹænd	grand grande
keɪ	k kay
swit	suite sweet
pɹoʊɡɹæmz	programmes programs
kæɹi	carrie carry
meɪl	mail male
mɪsɪz	misses mrs
blɑk	bloc block
hoʊli	holy wholly
sɪk	sic sick
hɔl	hall haul
mæs	mas mass
æp	ap app
mɪst	missed mist
ɹiəlaɪz	realise realize
hɪɹɪŋ	hearing hitting
lui	louie louis
kɹɪs	chris kris
weɪst	waist waste
maɪk	mic mike
kæst	cast caste
tɪl	til till
kæt	cat kat
dʒoʊ	jo joe
lɑs	las los
mɛɹi	mary merry
bɜθ	berth birth
dɪɹ	dear deer
ɪŋk	inc ink
leɪbɚ	labor labour
eɪd	aid aide
sɛlz	cells sells
bɹeɪkɪŋ	braking breaking
hɛnɹi	henri henry
wɛb	web webb
beɪ	bay bey
koɹ	cor core
ɡɑɹd	garde guard
ɪl	il ill
pɛɹ	pair pear
pleɪn	plain plane
skaɪ	sky skye
bɛɹ	bare bear
pɹɑfɪt	profit prophet
bᵻheɪvjɚ	behavior behaviour
dɛt	debt det
hoʊmz	holmes homes
ɑnɚ	honor honour
floʊ	flo flow
loʊn	loan lone
kɑ	ca ka
iəɹə	era ira
pul	pool poole
kʊk	cook cooke
lidz	leads leeds
teɪlɚ	tailor taylor
toʊni	toni tony
nɛk	nec neck
dʒɪm	gym jim
maɪnɚ	miner minor
sik	seek sikh
bɑm	bom bomb
weɪlz	wales whales
ɹiəlaɪzd	realised realized
feɪvɚ	favor favour
ɡɛst	guessed guest
hɑ	ha hah
pɹəmɪɹ	premier premiere
mænɚ	manner manor
ɹoʊdz	rhodes roads
haɪd	hide hyde
sɪŋ	sing singh
pik	peak peek
paʊndz	lbs pounds
sɪdni	sidney sydney
laɪsəns	licence license
pɹɪnsɪpəl	principal principle
ɹɛkəɡnaɪz	recognise recognize
ɹɛkəɡnaɪzd	recognised recognized
θiəɹɚ	theater theatre
fi	fe fee
lɑk	lock locke
bɹɛd	bread bred
neɪbɚhʊd	neighborhood neighbourhood
sʌnz	sons suns
stivən	stephen steven
koʊl	coal cole
ɛɹɪk	eric erik
