phon	members
ale	aller allers allez allé allée allées allés haler halez halé halée halés hâlé hâlée hâlées hâlés
ER	air aire aires airs erre errent erres ers haire haires hère hères ère ères
k§te	compter comptez compté comptée comptées comptés comté comtés conter contez conté contée contées contés
lE	lai laid laids laie laies lais lait laits lei let lez lès
p@se	panser pansez pansé pansée pansées pansés penser pensez pensé pensée pensées pensés
sule	saouler saoulez saoulé saoulée saoulées saoulés soûler soûlez soûlé soûlée soûlées soûlés
o	au aulx aux eau eaux haut hauts ho o oh ô
lase	lacer lacé lacée lacées lacés lasser lassez lassé lassée lassées lassés
taSe	tacher tachez taché tachée tachées tachés tâcher tâchez tâché tâchée tâchés
v@te	vanter vantez vanté vantée vantées vantés venter venté ventée ventées ventés
E	ai aie aient aies es hai haie haies hais hait
@kRe	ancrer ancrez ancré ancrée ancrées ancrés encrer encré encrée encrés
s5	ceins ceint ceints sain sains saint saints sein seing seins
desule	dessaouler dessaoulé dessaoulée dessaoulés dessouler dessoulé dessoûler dessoûlez dessoûlé dessoûlée
mat	mat mate matent mates math maths mats matte mattes mâte
peSe	pécher péchez péché péchés pêcher pêchers pêché pêchée pêchées pêchés
R@kaRde	rancarder rancardez rancardé rancardée rancardés rencarder rencardé rencardée rencardées rencardés
Rode	roder rodé rodée rodées rodés rôder rôdez rôdé rôdée rôdés
tR5bale	trimbaler trimbalez trimballer trimballez trimballé trimballée trimballés trimbalé trimbalée trimbalés
aR	are ares arrhes ars art arts hare hart harts
bit	beat bit bite bitent bites bits bitte bittes bytes
byte	buter butez butter butté buttés buté butée butées butés
kaR	car care carre carrent carres cars quarre quart quarts
sEl	celle celles cèle scelle scellent sel selle selles sels
SER	chair chaire chaires chairs cher cherres chers chère chères
Sope	choper chopez choppez choppé choppée chopé chopée chopées chopés
kRak	crac crack cracks craque craquent craques krach krachs krak
kRaSe	cracher crachez craché crachée crachées crachés crasher crashé crashée
desEle	desceller descellez descellé descellée descellées descellés dessellez dessellées dessellés
Egzose	exaucer exaucez exaucé exaucée exaucées exaucés exhausser exhaussé exhaussée
maRi	mari marie marient maries maris marri marrie marris mary
mate	mater matez matter maté matée matées matés mâter mâtée
myR	mur mure murent mures murs mûr mûre mûres mûrs
pER	pair paire paires pairs perd perds pers père pères
pome	paumer paumé paumée paumées paumés pommé pommée pommées pommés
syR	sur sure surent sures surs sûr sûre sûres sûrs
t5	tain teins teint teints thym tin tins tint tînt
ele	ailé ailée ailées ailés héler hélez hélé hélés
alje	allier alliez allié alliée alliées alliés hallier halliers
@pli	ampli amplis empli emplie emplies emplis emplit emplît
@te	anté enter hanter hantez hanté hantée hantées hantés
asene	assener assené assenée assenées assenés asséner asséné assénées
baj	bail baille bailles baye bye bâille bâillent bâilles
baje	bailler baillez baillé bayer bayé bâiller bâillez bâillé
balE	balai balaie balaient balaies balais ballaient ballet ballets
bati	battis battit battît bâti bâtie bâties bâtis bâtit
bote	beauté beautés botter bottez botté bottée bottées bottés
s@se	censé censée censées censés sensé sensée sensées sensés
sER	cerf cerfs serf serfs serre serrent serres sert
kolE	collai collaient collais collait collet collets colley colleys
k§tE	comptai comptaient comptais comptait contai contaient contais contait
k§t	compte comptent comptes comte comtes conte content contes
ku	cou coud couds coup coups cous coût coûts
kuR	cour coure courent coures courre cours court courts
kRwa	croie croient croies crois croit croix croîs croît
sEn	cène saine saines scène scènes seine sen senne
dekl@Se	déclancher déclanché déclencher déclenchez déclenché déclenchée déclenchées déclenchés
degote	dégoter dégotez dégotter dégotté dégoté dégotée dégotées dégotés
y	eu eue eues eus eut eût hue u
fose	fausser faussez faussé faussée faussées faussés fossé fossés
fi	fi fie fient fis fit fy fît phi
gute	goutter goûter goûters goûtez goûté goûtée goûtées goûtés
lasE	lacet lacets lassai lassaient lassais lassait laçais laçait
lise	lisser lissez lissé lissée lissées lissés lycée lycées
maRe	marae marrer marrez marré marrée marrés marée marées
mu	mou moud mouds moue moues mous moût moûts
pE	paie paient paies pais paix paît pet pets
poze	pauser pausez poser posez posé posée posées posés
REn	raine raines reine reines renne rennes rêne rênes
R°syRZi	ressurgi ressurgie ressurgit resurgi resurgies resurgis resurgit resurgît
Ri	ri rie rient ries ris rit riz rît
sake	sacquer sacqué saké sakés saquer saqué saquée saqués
so	saut sauts sceau sceaux seau seaux sot sots
sje	scier sciez scié sciée sciées sciés sied siéent
t@	tan tans tant taon taons temps tend tends
t5te	teinter teinté teintée teintées teintés tinter tinté tintés
ak§paNe	accompagner accompagnez accompagniez accompagné accompagnée accompagnées accompagnés
