ipa	members
ɛ	aie aient aies ais ait eh ei es est haie haies hais het hey
o	au aus aux eau eaux haut hauts ho o ô
pɛɹ	pair paire paires pairs per perd perds pers père pères
il	hill hills il ile iles ille ils île îles
si	ci cie sci scie si sis sit sy
sɛ̃	sain sains saint saints sein seins sin st
ɑ̃	an ans en ens han hand hans
ɔm	home homme hommes hum om oms um
y	eu eue eus eut eût u ue
kɔ̃t	compte comptent comptes comte comtes conte contes
aʃte	acheter achetez acheté achetée achetées achetés ht
ʃɛn	chaine chaines chaîne chaînes chen chêne chênes
ɛl	aile ailes el elle elles l
syɹ	sur sure sûr sûre sûres sûrs
etɛ	etaient etais etait étaient étais était
kɑ̃	caen camp camps khan quand quant
sɑ̃	cent cents san sang sans sent
vi	vi vie vies vih vis vit
ka	ca cas cat k ka qua
kaɹ	car card care cars quart quarts
vɛɹ	ver verre verres vers vert verts
ale	aller allez allé allée allées allés
mɛtɹ	maitre maître maîtres mettre mètre mètres
mɛɹ	maire maires mer mers mère mères
pase	passer passez passé passée passées passés
vwa	voie voient voies vois voit voix
tɹuve	trouver trouvez trouvé trouvée trouvées trouvés
dɔne	donner donnez donné donnée données donnés
ɛɹ	air aire aires airs r ère
ba	ba bah bas bat bats bha
kœɹ	choeur chœur coeur coeurs cœur cœurs
lɛse	laisser laissez laissé laissée laissées laissés
dəmɑ̃de	demander demandez demandé demandée demandées demandés
sɛn	saine saines scène scènes seine sen
ɹɛste	rester restez resté restée restées restés
ʃɛɹ	chair chaire cher chers chère chères
aɹɛte	arrêter arrêtez arrêté arrêtée arrêtées arrêtés
ɑ̃tɹe	entrer entrez entré entrée entrées entrés
ytilize	utiliser utilisez utilisé utilisée utilisées utilisés
pɛje	payer payez payé payée payées payés
ɹətɹuve	retrouver retrouvez retrouvé retrouvée retrouvées retrouvés
aɹive	arriver arrivez arrivé arrivée arrivées arrivés
pɔɹte	porter portez porté portée portées portés
pɛ	paie paient paies paix pay pet
aple	appeler appelez appelé appelée appelées appelés
