word	variant	zipf
abject	abjecte	2.83
abject	abjectes	2.38
abject	abjects	2.33
abjecte	abjectes	2.38
abjectes	abjecte	2.83
abjects	abject	2.94
aborde	aborder	4.11
aborde	abordé	3.75
aborde	abordent	3.23
aborde	abordant	3.12
aborde	abordait	2.61
aborde	abordez	2.42
aborde	aborda	2.22
aborde	abordes	2.08
acceptable	acceptables	3.26
accepte	accepter	4.66
accepte	accepté	4.47
accepte	acceptent	3.85
accepte	acceptez	3.66
accepte	acceptant	3.56
accepte	acceptes	3.30
accepte	accepta	3.28
accepte	acceptait	3.18
accepter	accepte	4.52
accepter	accepté	4.47
accepter	acceptent	3.85
accepter	acceptée	3.81
accepter	acceptez	3.66
accepter	acceptant	3.56
accepter	acceptés	3.49
accepter	acceptées	3.45
accepter	acceptes	3.30
accepter	acceptera	3.30
accepter	accepta	3.28
accepter	accepterait	3.22
acceptes	accepte	4.52
accepté	acceptée	3.81
accepté	acceptés	3.49
accepté	acceptées	3.45
accessible	accessibles	3.98
accorde	accorder	4.22
accorde	accordé	4.17
accorde	accordent	3.73
accorde	accordant	3.41
accorde	accordait	3.07
accorde	accordez	3.04
accorde	accorda	2.93
accorde	accordes	2.76
accru	accrue	3.78
accru	accrues	2.97
accru	accrus	2.91
accède	accèdent	3.06
accède	accèder	2.01
accède	accèdes	1.94
acheter	acheté	4.64
acheter	achetez	3.84
acheter	achetée	3.70
acheter	achetés	3.69
acheter	achetant	3.45
acheter	achetées	3.37
acheter	achete	3.23
acheter	achetait	3.09
acheter	acheta	3.01
acheter	achetons	2.79
acheter	achetaient	2.77
acheter	achetent	2.50
acné	acnés	1.23
acquis	acquise	3.91
acquis	acquises	3.56
acquise	acquises	3.56
acquises	acquise	3.91
acte	actes	4.73
acte	acta	3.10
acte	acté	2.92
acte	acter	2.46
acte	actant	2.19
actes	acte	4.79
active	actives	3.69
active	activer	3.67
active	activé	3.63
active	activez	3.02
active	activent	2.93
active	activant	2.66
active	activait	2.11
active	activa	2.06
actrices	actrice	4.39
adel	adele	3.12
adel	adela	2.18
adem	ademe	3.09
adepte	adeptes	3.79
adeptes	adepte	3.54
adjectif	adjectifs	3.21
adresse	adresser	4.09
adresse	adressé	3.92
adresse	adresses	3.91
adresse	adressant	3.55
adresse	adressent	3.45
adresse	adressait	3.12
adresse	adressez	3.07
adresse	adressa	2.93
adresses	adresse	4.94
adri	adria	2.47
affect	affecté	4.03
affect	affecte	3.90
affect	affectés	3.81
affect	affecter	3.76
affect	affectée	3.64
affect	affectées	3.48
affect	affectent	3.45
affect	affectant	3.29
affect	affects	2.65
affect	affectait	2.57
affect	affecta	2.23
affect	affectaient	2.08
affecte	affecté	4.03
affecte	affecter	3.76
affecte	affectent	3.45
affecte	affectant	3.29
affecte	affectait	2.57
affecte	affecta	2.23
affecte	affectez	1.78
affects	affect	2.86
agnelle	agnelles	1.39
agressive	agressives	3.12
agressives	agressive	3.64
agreste	agrestes	1.10
agrestes	agreste	2.37
aidant	aidants	2.98
aide	aider	5.09
aide	aides	4.39
aide	aidé	4.33
aide	aidez	3.94
aide	aident	3.83
aide	aidant	3.67
aide	aidait	3.21
aide	aida	3.17
aider	aide	5.31
aider	aides	4.39
aider	aidé	4.33
aider	aidez	3.94
