word	variant	zipf
abilities	ability	4.96
academy	academies	3.34
accept	accepted	4.67
accept	accepting	4.18
accept	accepts	3.88
acceptance	acceptances	2.36
acceptances	acceptance	4.16
accepted	accept	4.85
accepted	accepting	4.18
accepted	accepts	3.88
accepting	accept	4.85
accepting	accepted	4.67
accepting	accepts	3.88
accepts	accept	4.85
accepts	accepted	4.67
accepts	accepting	4.18
accord	according	5.28
accord	accords	3.14
accord	accorded	3.02
according	accord	3.81
according	accords	3.14
according	accorded	3.02
acne	acnes	1.66
act	acting	4.82
act	acts	4.64
act	acted	4.28
acted	act	5.30
acted	acting	4.82
acted	acts	4.64
active	actives	2.60
activist	activists	4.13
activities	activity	4.86
actor	actors	4.40
actress	actresses	3.49
adapt	adapted	4.17
adapt	adapting	3.50
adapt	adapts	2.88
address	addressed	4.26
address	addresses	4.13
address	addressing	4.06
addressed	address	4.91
addressed	addresses	4.13
addressed	addressing	4.06
addresses	address	4.91
addresses	addressed	4.26
addresses	addressing	4.06
addressing	address	4.91
addressing	addressed	4.26
addressing	addresses	4.13
adept	adepts	2.27
adepts	adept	3.33
adjust	adjusted	4.11
adjust	adjusting	3.71
adjust	adjusts	3.03
adorn	adorned	3.37
adorn	adorning	2.55
adorn	adorns	2.46
advise	advised	4.18
advise	advising	3.57
advise	advises	3.43
affair	affairs	4.67
affairs	affair	4.30
affect	affected	4.64
affect	affects	4.16
affect	affecting	4.07
affected	affect	4.59
affected	affects	4.16
affected	affecting	4.07
affected	affecteds	0.00
affecting	affected	4.64
affecting	affect	4.59
affecting	affects	4.16
affects	affected	4.64
affects	affect	4.59
affects	affecting	4.07
aggressive	aggressives	0.00
aggressives	aggressive	4.32
agree	agreed	4.84
agree	agrees	4.08
agree	agreeing	3.83
agreed	agree	4.97
agreed	agrees	4.08
agreed	agreeing	3.83
agreeing	agree	4.97
agreeing	agreed	4.84
agreeing	agrees	4.08
agrees	agree	4.97
agrees	agreed	4.84
agrees	agreeing	3.83
aid	aids	4.25
aid	aided	3.74
aid	aiding	3.44
aided	aid	4.75
aided	aids	4.25
aided	aiding	3.44
air	aired	3.85
air	airing	3.58
air	airs	3.51
aired	air	5.37
aired	airing	3.58
aired	airs	3.51
airing	air	5.37
airing	aired	3.85
airing	airs	3.51
airlift	airlifted	2.60
airlift	airlifting	1.68
airlift	airlifts	1.62
airlifted	airlift	2.87
airlifted	airlifting	1.68
airlifted	airlifts	1.62
airlifting	airlift	2.87
airlifting	airlifted	2.60
airlifting	airlifts	1.62
airlifts	airlift	2.87
airlifts	airlifted	2.60
airlifts	airlifting	1.68
airs	air	5.37
airs	aired	3.85
airs	airing	3.58
albatross	albatrosses	2.02
albatrosses	albatross	2.90
album	albums	4.19
alias	aliases	2.84
alias	aliasing	2.46
alias	aliased	1.73
aliased	alias	3.46
aliased	aliases	2.84
aliased	aliasing	2.46
aliases	alias	3.46
aliases	aliasing	2.46
aliases	aliased	1.73
aliasing	alias	3.46
aliasing	aliases	2.84
aliasing	aliased	1.73
allege	alleged	4.37
allege	alleging	3.47
allege	alleges	3.32
alleged	alleging	3.47
alleged	alleges	3.32
alleged	allege	3.18
alley	alleys	3.06
alleys	alley	3.87
allowed	allow	5.01
allowed	allows	4.67
allowed	allowing	4.62
altar	altars	2.89
alter	altered	4.02
alter	altering	3.59
alter	alters	3.11
am	is	7.07
am	was	6.82
am	be	6.79
am	are	6.74
am	were	6.34
am	been	6.27
am	being	5.95
amaze	amazing	5.10
amaze	amazed	3.91
amaze	amazes	3.08
amazed	amazing	5.10
amazed	amaze	3.19
amazed	amazes	3.08
amazes	amazing	5.10
amazes	amazed	3.91
amazes	amaze	3.19
amazing	amazed	3.91
amazing	amaze	3.19
amazing	amazes	3.08
amend	amended	3.78
amend	amends	3.32
amend	amending	3.00
amended	amend	3.55
amended	amends	3.32
amended	amending	3.00
anatomy	anatomies	1.67
annex	annexed	3.50
annex	annexing	2.61
annex	annexes	2.44
annexed	annex	3.50
annexed	annexing	2.61
annexed	annexe	2.51
annexed	annexes	2.44
annexes	annex	3.50
annexes	annexed	3.50
annexes	annexing	2.61
annexes	annexe	2.51
annexing	annex	3.50
annexing	annexed	3.50
annexing	annexe	2.51
annexing	annexes	2.44
annoyed	annoying	4.40
annoyed	annoy	3.46
annoyed	annoys	3.32
antique	antiques	3.48
antiques	antique	3.86
apex	apices	1.83
apex	apexes	1.62
apexes	apex	3.71
apexes	apices	1.83
appeal	appeals	4.22
appeal	appealing	3.95
appeal	appealed	3.83
appealed	appeal	4.67
appealed	appeals	4.22
appealed	appealing	3.95
appealing	appeal	4.67
appealing	appeals	4.22
appealing	appealed	3.83
appeals	appeal	4.67
