en	fr	score	tier	gold_en	gold_fr	src_tier
leafy	lissai	0.654	PASS	leafy	lisser	GOLD
leafier	lissai	0.654	PASS	leafy	lisser	GOLD
leafiest	lissai	0.559	PASS	leafy	lisser	GOLD
address	adressée	0.683	PASS	address	adresser	EXPANSION
address	adressées	0.683	PASS	address	adresser	EXPANSION
address	adressés	0.683	PASS	address	adresser	EXPANSION
address	adressera	0.644	PASS	address	adresser	EXPANSION
addressed	adressée	0.644	PASS	address	adresser	EXPANSION
addressed	adressées	0.644	PASS	address	adresser	EXPANSION
addressed	adressés	0.644	PASS	address	adresser	EXPANSION
addressed	adressera	0.608	PASS	address	adresser	EXPANSION
addresses	adressée	0.637	PASS	address	adresser	EXPANSION
addresses	adressées	0.637	PASS	address	adresser	EXPANSION
addresses	adressés	0.637	PASS	address	adresser	EXPANSION
addresses	adressera	0.617	PASS	address	adresser	EXPANSION
addressing	adressée	0.642	PASS	address	adresser	EXPANSION
addressing	adressées	0.642	PASS	address	adresser	EXPANSION
addressing	adressés	0.642	PASS	address	adresser	EXPANSION
addressing	adressera	0.596	PASS	address	adresser	EXPANSION
affecteds	affecte	0.644	PASS	affected	affecte	EXPANSION
affecteds	affecté	0.604	PASS	affected	affecte	EXPANSION
affecteds	affecter	0.604	PASS	affected	affecte	EXPANSION
affecteds	affectent	0.644	PASS	affected	affecte	EXPANSION
affecteds	affectant	0.623	PASS	affected	affecte	EXPANSION
affecteds	affectait	0.604	PASS	affected	affecte	EXPANSION
affecteds	affecta	0.612	PASS	affected	affecte	EXPANSION
affecteds	affectez	0.604	PASS	affected	affecte	EXPANSION
affected	affectera	0.603	PASS	affected	affecter	EXPANSION
affected	affecterait	0.603	PASS	affected	affecter	EXPANSION
affect	affectera	0.627	PASS	affected	affecter	EXPANSION
affect	affecterait	0.627	PASS	affected	affecter	EXPANSION
affects	affectera	0.596	PASS	affected	affecter	EXPANSION
affects	affecterait	0.596	PASS	affected	affecter	EXPANSION
affecting	affectera	0.579	PASS	affected	affecter	EXPANSION
affecting	affecterait	0.605	PASS	affected	affecter	EXPANSION
affecteds	affectés	0.604	PASS	affected	affecter	EXPANSION
affecteds	affectée	0.604	PASS	affected	affecter	EXPANSION
affecteds	affectées	0.604	PASS	affected	affecter	EXPANSION
affecteds	affectera	0.578	PASS	affected	affecter	EXPANSION
affecteds	affecterait	0.570	PASS	affected	affecter	EXPANSION
affecteds	affectaient	0.604	PASS	affected	affecter	EXPANSION
albatross	albatros	0.761	STRICT	albatrosses	albatros	EXPANSION
amazing	amazing	0.724	PASS	amazed	amazing	EXPANSION
annex	annexée	0.686	PASS	annex	annexé	EXPANSION
annex	annexés	0.686	PASS	annex	annexé	EXPANSION
annex	annexées	0.686	PASS	annex	annexé	EXPANSION
annexed	annexée	0.646	PASS	annex	annexé	EXPANSION
annexed	annexés	0.646	PASS	annex	annexé	EXPANSION
annexed	annexées	0.646	PASS	annex	annexé	EXPANSION
annexing	annexée	0.644	PASS	annex	annexé	EXPANSION
annexing	annexés	0.644	PASS	annex	annexé	EXPANSION
annexing	annexées	0.644	PASS	annex	annexé	EXPANSION
annexes	annexée	0.640	PASS	annex	annexé	EXPANSION
