word	variant	zipf
academy	academies	3.34
according	accords	3.14
according	accorded	3.02
according	accord	3.81
addresses	addressing	4.06
addresses	addressed	4.26
addresses	address	4.91
affected	affect	4.59
affected	affecting	4.07
affected	affecteds	0.00
affected	affects	4.16
amended	amends	3.32
amended	amend	3.55
amended	amending	3.00
anatomy	anatomies	1.67
arrested	arrest	4.55
arrested	arresting	3.50
arrested	arrests	3.74
assaulted	assaults	3.48
assaulted	assaulting	3.36
assaulted	assault	4.44
attended	attends	3.49
attended	attend	4.55
attended	attending	4.31
attending	attendings	1.93
attending	attends	3.49
attending	attend	4.55
attending	attended	4.47
baseball	baseballs	2.45
basket	basketed	0.00
basket	basketing	0.00
basket	baskets	3.45
bastard	bastards	3.63
bathroom	bathrooms	3.67
battle	battles	4.18
battle	battling	3.69
battle	battled	3.27
beaches	beached	2.61
beaches	beach	4.92
beaches	beaching	1.91
bedroom	bedrooms	3.72
belly	bellied	2.71
belly	bellying	1.05
belly	bellies	2.91
bender	benders	2.48
bending	bends	3.34
bending	bended	2.30
bending	bend	4.13
bending	bent	3.99
berry	berries	3.57
berry	berrying	0.00
berry	berried	1.68
betting	betted	1.67
betting	bets	3.85
betting	bet	4.79
bleeding	bleedings	1.34
bleeding	bleeds	3.04
bleeding	bled	3.21
bleeding	bleed	3.72
borders	bordering	3.39
borders	border	4.70
borders	bordered	3.16
bothered	bother	4.39
bothered	bothers	3.55
bothered	bothering	3.63
bottle	bottling	3.16
bottle	bottles	4.19
bottle	bottled	3.49
branches	branch	4.58
branches	branching	3.24
branches	branched	3.18
branded	branding	3.77
branded	brand	4.83
branded	brands	4.32
breathing	breathings	1.40
breathing	breathe	4.26
breathing	breathes	3.30
breathing	breathed	3.22
bridges	bridge	4.77
bridges	bridged	2.75
bridges	bridging	3.25
brothers	brother	5.11
builders	builder	3.85
bury	buried	4.40
bury	buries	2.69
bury	burying	3.35
busted	busting	3.44
busted	busts	3.17
busted	bust	4.04
butcher	butchers	3.07
butcher	butchered	3.01
butcher	butchering	2.63
butler	butlers	2.57
cartoon	cartooned	1.05
cartoon	cartooning	2.18
cartoon	cartoons	3.74
casting	casts	3.58
casting	cast	4.79
casting	castings	2.81
causes	caused	4.88
causes	causing	4.53
causes	cause	5.35
cedars	cedar	3.76
ceded	cedes	2.09
ceded	ceding	2.58
